"School name","Cases from school-based transmission"
"LINDA ESPERANZA MARQUEZ SENIOR HIGH LIBRA ACADEMY",0
"LINDA ESPERANZA MARQUEZ SENIOR HIGH SOCIAL JUSTICE",0
"LOCKE EARLY EDUCATION CENTER",0
"LOCKE INFANT",0
"LOCKHURST DRIVE CHARTER ELEMENTARY",0
"LOCKWOOD AVENUE ELEMENTARY",0
"LOGAN ACADEMY OF GLOBAL ECOLOGY",0
"LOGAN STREET EARLY EDUCATION CENTER",0
"LOMA VISTA ELEMENTARY",0
"LOMITA ELEMENTARY MATH/SCIENCE/TECHNOLOGY MAGNET",0
"LOREN MILLER ELEMENTARY",0
"LORENA STREET ELEMENTARY",0
"LORETO STREET ELEMENTARY",0
"LORNE STREET ELEMENTARY",0
"LOS ANGELES ACADEMY MIDDLE SCHOOL",0
"LOS ANGELES CENTER FOR ENRICHED STUDIES (LACES) MAGNET",0
"LOS ANGELES ELEMENTARY",0
"LOS ANGELES SENIOR HIGH",0
"LOS FELIZ SCIENCE/TECH/ENGINEER/MATH/MEDICINE MAGNET",0
"LOUIS ARMSTRONG MIDDLE SCHOOL",0
"LOVELIA P FLOURNOY ELEMENTARY",0
"LOYOLA VILLAGE ELEMENTARY FINE/PERFORMING ARTS MAGNET",0
"LUCILLE ROYBAL-ALLARD ELEMENTARY",0
"LUTHER BURBANK MIDDLE SCHOOL POLICE ACADEMY MAGNET",0
"MACARTHUR PARK VPA DL TWO-WAY IM SPANISH",0
"MADISON ELEMENTARY",0
"MAGNOLIA AVENUE ELEMENTARY",0
"MAGNOLIA SCIENCE ACADEMY #2",0
"MAGNOLIA SCIENCE ACADEMY #4",0
"MAGNOLIA SCIENCE ACADEMY #6",0
"MAGNOLIA SCIENCE ACADEMY BELL @ SOUTH REGION MS #2A",0
"MAIN STREET ELEMENTARY",0
"MALABAR STREET ELEMENTARY",0
"MANCHESTER AVENUE ELEMENTARY",0
"MANHATTAN PLACE ELEMENTARY",0
"MANUAL ARTS SENIOR HIGH",0
"MAPLE PRIMARY CENTER",0
"MAR VISTA ELEMENTARY",0
"MARGUERITE POINDEXTER LAMOTTE ELEMENTARY",0
"MARIANNA AVENUE ELEMENTARY",0
"MARINA DEL REY MIDDLE SCHOOL",0
"MARINA EARLY EDUCATION CENTER",0
